iso_o,iso_d,contig,comlang_off,colony,comcol,dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,PRY,0,1,0,0,4418.0757,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PYF,0,0,0,0,9348.1074,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,QAT,0,0,0,0,12436.231,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,REU,0,0,0,0,14183.826,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ROM,0,0,0,0,9528.1191,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,RUS,0,0,0,0,9942.4746,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,RWA,0,0,0,0,11168.009,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SAU,0,0,0,0,12028.872,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SDN,0,0,0,0,10960.457,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SEN,0,0,0,0,5688.1304,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SGP,0,0,0,0,18355.379,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SHN,0,0,0,0,7763.8979,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLB,0,0,0,0,14562.644,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLE,0,0,0,0,6222.7559,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLV,0,1,0,0,2070.0093,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SMR,0,0,0,0,8461.9121,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SOM,0,0,0,0,12721.271,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SPM,0,0,0,0,4015.7551,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,STP,0,0,0,0,8580.3467,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SUR,0,1,0,1,1793.713,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SVK,0,0,0,0,8778.7412,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SVN,0,0,0,0,8601.0088,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SWE,0,0,0,0,8715.3867,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SWZ,0,0,0,0,11739.211,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SYC,0,0,0,0,13989.588,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SYR,0,0,0,0,10720.528,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TCA,0,0,0,0,998.47742,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TCD,0,0,0,0,9201.1582,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TGO,0,0,0,0,7858.2998,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,THA,0,0,0,0,16930.207,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TJK,0,0,0,0,12917.734,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TKL,0,0,0,0,11515.176,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TKM,0,0,0,0,12265.522,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TMP,0,0,0,0,18262.52,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TON,0,0,0,0,12067.622,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TTO,0,0,0,0,959.7569,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUN,0,0,0,0,8328.585,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUR,0,0,0,0,9845.79,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUV,0,0,0,0,12456.918,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TWN,0,0,0,0,15659.134,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TZA,0,0,0,0,12282.36,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UGA,0,0,0,0,11386.025,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UKR,0,0,0,0,9678.4492,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,URY,0,1,0,0,5483.9346,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,USA,0,0,0,0,3161.668,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UZB,0,0,0,0,12732.287,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VCT,0,0,0,0,964.70435,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VEN,0,1,0,0,408.80646,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VGB,0,0,0,0,881.28821,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VNM,0,0,0,0,16271.962,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,VUT,0,0,0,0,13756.357,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,WLF,0,0,0,0,12049.833,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,WSM,0,0,0,0,13348.891,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,YEM,0,0,0,0,12161.901,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,YUG,0,0,0,0,9082.8584,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZAF,0,0,0,0,10662.36,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZAR,0,0,0,0,9622.7695,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZMB,0,0,0,0,11267.376,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ZWE,0,0,0,0,11603.469,Aruba,0,America,12.55,-70.099998,Dutch,NLD
AFG,ABW,0,0,0,0,13257.814,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AGO,0,0,0,0,7607.7998,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AIA,0,0,0,0,12292.158,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ALB,0,0,0,0,4342.1167,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AND,0,0,0,0,5806.3589,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ANT,0,0,0,0,13218.259,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARE,0,0,0,0,1813.6145,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARG,0,0,0,0,15298.504,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ARM,0,0,0,0,2266.1501,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,ATG,0,0,0,0,12297.092,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AUS,0,0,0,0,11433.487,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AUT,0,0,0,0,4568.0977,Afghanistan,1,Asia,34.516666,69.199997,Persian,
