"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"65","GHA",65,0.00265216758515288,65,40095.7725510207,65,1110.48221616357,65,1391.58736117245,0.979336161928584,0.97882415117959
"66","GIN",66,0.00212695559348018,66,14411.4032212367,66,457.049661980614,66,428.630029612002,0.9843564378046,0.976023458174827
"67","GMB",67,0.00189926394428964,67,1414.29212492685,67,35.8135885188539,67,181.990962785954,0.978413444170507,0.947228473774381
"68","GNB",68,0.00169393917495934,68,7197.39119193174,68,58.3689654498919,68,77.5996784528151,0.992891549047219,0.992573567815557
"69","GNQ",69,0.00205090187607844,69,41414.5708980093,69,1393.43421222647,69,884.881267951061,0.99374157304484,0.994993849401671
"70","GRC",70,0.00571808491789059,70,43054.5298727352,70,3032.7606914471,70,6415.84203124792,0.940431679119759,0.917111833398192
"71","GRD",71,0.00191577319002308,71,902.568883624724,71,17.3249695187265,71,87.7443519795645,0.942587315233554,0.912779136617357
"72","GRL",72,0.00184395306815067,72,14124.4652633166,72,145.112777486739,72,213.60610382801,0.998534316681247,0.998414718490068
"73","GTM",73,0.00297239170169672,73,53551.1940559838,73,1414.0841904987,73,1761.31394577552,0.9652653302561,0.950596186943508
"74","GUY",74,0.00219773350838345,74,13563.3547588525,74,252.494635291854,74,346.456013844234,0.960339891966061,0.971909576753942
"75","HKG",75,0.0102814115076491,75,110836.94039953,75,8379.08612344031,75,16414.7094589409,0.977328734862705,0.967030749529558
"76","HND",76,0.00269570914421299,76,51310.2782987045,76,1010.71634439564,76,1342.52320761806,0.971869017403179,0.973868051633874
"77","HRV",77,0.00331758193434367,77,37607.097356328,77,1505.52245531323,77,2538.26519015044,0.952020456973365,0.941365877634155
"78","HTI",78,0.00222908373286567,78,19073.6893328312,78,178.455375581051,78,581.664775336127,0.986432483215229,0.998984298048571
"79","HUN",79,0.00434768431753934,79,98519.5935961012,79,6260.03822199665,79,6578.55499337304,0.986268335142291,0.981652478470537
"80","IDN",80,0.00743880843247293,80,106227.495724428,80,13672.8541746888,80,11413.8082774495,0.965258096747472,0.969698828108336
"81","IND",81,0.0211936429337615,81,112612.231196591,81,18209.7836693526,81,24641.1705341331,0.933796834961214,0.941268780992341
"82","IRL",82,0.00493574138147379,82,115153.728430888,82,11468.4093767474,82,6295.28948936441,0.988865172070984,0.989096686495063
"83","IRN",83,0.00488263265737536,83,98482.313159397,83,8865.17809034,83,6636.59997981004,0.971212734466111,0.957493339261689
"84","IRQ",84,0.00386628865640851,84,87407.5510151357,84,5610.86946192935,84,3796.06616579737,0.997622768759678,0.999566606673678
"85","ISL",85,0.00215837544576994,85,31618.0067714172,85,862.2379320977,85,766.657257058346,0.978001809223678,0.987859931778861
"86","ISR",86,0.00469452513204791,86,99528.9670707584,86,5489.62007428371,86,5851.66379059055,0.975200202212944,0.981854304683332
"87","ITA",87,0.0242432931143996,87,138398.42551704,87,29506.4153882843,87,31566.1937763837,0.94708369799949,0.958978718161229
"88","JAM",88,0.00253577662646819,88,16425.8959602636,88,275.637671521052,88,840.448249736725,0.960218963535203,0.968361859521057
"89","JOR",89,0.00283117932590623,89,28536.7791419333,89,1088.40990177795,89,2354.8985362156,0.957530340918082,0.89649200280285
"90","JPN",90,0.0272002905873776,90,173518.004007153,90,41421.6234832785,90,39417.7470132104,0.956809420712185,0.962869581566382
"91","KAZ",91,0.00350543286086481,91,83631.8579908426,91,6079.22779102184,91,3878.78623338087,0.972549473999785,0.977523415315436
