iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp
IND,India,2006,940259888787.72,801.67,1172878890.0,45.72,27.56942215143136,3.8225358389266098,India,0,Asia,28.616667,77.216667,English,GBR,Emerging and Developing Economies,0.0,2006,6.686697,20.882727,0.12074232,0.13638306
IDN,Indonesia,2006,364570515618.36,1558.32,233951652.0,56.66,26.621985828171027,4.03706849440237,Indonesia,0,Asia,-6.1333332,106.75,Indonesian,NLD,Emerging and Developing Economies,0.0,2006,7.3513637,19.270624,0.22994184,0.24318886
IRN,"Iran, Islamic Rep.",2006,265602187406.2,3618.92,73392747.0,53.17,26.30526549023089,3.973494327516247,Iran,0,Asia,35.666668,51.433334,Persian,,Emerging and Developing Economies,0.0,2006,8.1939306,18.111336,0.14448738,0.16603088
IRQ,Iraq,2006,65147051918.02,2276.55,28616515.0,89.65,24.89991288881069,4.495913200051142,Iraq,0,Asia,33.333332,44.433334,Arabic,TUR,Emerging and Developing Economies,0.0,2006,7.7304163,17.169495,0.25599003,0.26332283
IRL,Ireland,2006,232180617162.28,54329.16,4273591.0,150.02,26.170781427972678,5.010768618541491,Ireland,0,Europe,53.333332,-6.25,English,GBR,Advanced Economies,1.0,2006,10.902817,15.267965,0.0645504,0.091510773
ISR,Israel,2006,158900547825.31,22527.26,7053700.0,78.44,25.79154435809365,4.362334001328145,Israel,0,Asia,32.083332,34.766666,Hebrew,GBR,Advanced Economies,1.0,2006,10.022481,15.769063,0.05663681,0.074314117
ITA,Italy,2006,1958563654385.64,33537.13,58399861.0,52.92,28.30323249112517,3.968781339246755,Italy,0,Europe,41.883335,12.5,Italian,,Advanced Economies,1.0,2006,10.420408,17.882824,0.044959068,0.048959732
JAM,Jamaica,2006,11930179089.89,4417.0,2700968.0,100.75,23.202337084669463,4.612642200826793,Jamaica,0,America,17.966667,-76.800003,English,GBR,Emerging and Developing Economies,0.0,2006,8.3932161,14.809121,0.054087639,0.059247971
JPN,Japan,2006,4601663122649.92,35991.55,127854000.0,30.02,29.15743890248288,3.401863826205316,Japan,0,Asia,35.666668,139.75,Japanese,,Advanced Economies,1.0,2006,10.491039,18.666399,-0.049365997,-0.048732758
JOR,Jordan,2006,15056981664.32,2342.63,6427371.0,141.75,23.43510761853537,4.954064942607862,Jordan,0,Asia,31.950001,35.933334,Arabic,GBR,Emerging and Developing Economies,0.0,2006,7.7590294,15.676076,0.11512947,0.17901993
KAZ,Kazakhstan,2006,81003864630.02,5030.13,16103716.0,91.45,25.117762701962423,4.515792374836875,Kazakhstan,1,Asia,51.169998,71.470001,Kazakh,RUS,Emerging and Developing Economies,0.0,2006,8.523201,16.594561,0.34082031,0.3492794
