iso_o,iso_d,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9479,4.9689,4.4705,3.766,3.2912,15.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,QAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391,0.0,0.0,0.0,0.0293,0.0,0.0,0.0,0.0,0.0,0.0
AFG,RUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.4373,0.44,0.5097,0.4477,1.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,SAU,0.0,0.0007,0.0002,0.0,0.0,0.0,0.0,0.0,0.0268,0.0305,0.028,0.0242,0.0213,0.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0021,0.0,0.0
AFG,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227,0.0,0.0,0.0,0.006
AFG,SWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0004,0.0003,0.0,0.0001
AFG,SYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0082,0.0039,0.0089,0.0074,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0,0.0,0.0
AFG,TJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569,0.6898,0.6152,0.5198,0.4534,2.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,TKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2198,0.2926,0.4277,0.5496,0.6856,3.2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,TUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.001,0.0018,0.003,0.0028,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,USA,0.2541,0.2736,0.8731,3.1619,3.1505,0.4045,0.4323,0.1624,3.4163,0.8309,0.3316,2.8833,2.5796,5.1456,0.8436,2.0828,0.2513,0.3872,7.5467,0.9477,0.2217,0.4171,0.2739,2.7891,0.2548,0.6684,0.333,0.311,0.0242
AFG,UZB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
AFG,ZAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0
AGO,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0064,0.0016,0.0001,0.0022,0.0,0.3064,0.0014,0.0001
AGO,ARG,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0073,0.0,0.0,0.0
AGO,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
