"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"102","LBY",102,0.00321527974786916,102,1041.08277468968,102,13.5675960230466,102,339.252899710808,0.97562163723072,0.884785908243983
"103","LCA",103,0.0020111619562943,103,1199.99800595491,103,10.9089557014744,103,19.4420463239798,0.96892725273591,0.982648421073208
"104","LKA",104,0.00235023754065053,104,2707.5624836637,104,85.779996343772,104,214.597509818121,0.953276276458898,0.914411666079389
"105","LSO",105,0.00128633878330197,105,321.186068612498,105,4.50269232605993,105,34.7800208714522,0.997006319128753,0.98246274805207
"106","LTU",106,0.00309846210069793,106,4322.00134211537,106,229.740391159561,106,435.438233367612,0.943727350864539,0.892182858196741
"107","LUX",107,0.00291563840792916,107,7450.67465488604,107,301.874954362613,107,419.173389759877,0.974238532803894,0.964613841146697
"108","LVA",108,0.00276045056047121,108,3181.99045387928,108,148.840191909604,108,330.454260580062,0.899476657015743,0.784237212288293
"109","MAC",109,0.00171098499239038,109,2360.7813020442,109,51.3879235275062,109,205.572185979645,0.989579923540725,0.98143114479841
"110","MAR",110,0.0037932113075844,110,12231.34031721,110,570.688500698113,110,704.533958313751,0.968151769615385,0.954401362225492
"111","MDA",111,0.00206211919497545,111,1646.82404485567,111,22.0279176294743,111,111.645656970651,0.965231976865896,0.934703095881849
"112","MDG",112,0.00219559250265362,112,243.9066376861,112,4.41390812547138,112,103.886130158754,0.97278172216583,0.962301099484678
"113","MDV",113,0.00175234802068872,113,57.0285424102337,113,3.02838921758095,113,51.7795408017847,0.992720607371158,0.950417903882107
"114","MEX",114,0.0189638652970189,114,41597.0345457311,114,7780.62938785665,114,5813.50338284858,0.955030442455463,0.96908522633444
"115","MHL",115,0.00139826532520118,115,24.6377982324498,115,2.35584026854119,115,36.7156176256386,0.998605968326435,0.928645002094016
"116","MKD",116,0.0026686862548628,116,935.75059436574,116,32.7898579293299,116,117.430658238769,0.954806115737239,0.92868810148076
"117","MLI",117,0.00325863643533359,117,179.782224094247,117,6.03177549953145,117,57.901721752591,0.942258887095114,0.90558264532643
"118","MLT",118,0.0022869863301111,118,9404.57006372566,118,420.687721102262,118,303.283122733306,0.960475692698052,0.938344680023885
"119","MMR",119,0.00244693988232246,119,773.470598323662,119,10.2120006523461,119,122.403268016662,0.980788289366589,0.998420526802928
"120","MNG",120,0.00180834462303011,120,154.141062891473,120,4.67079124847602,120,92.1960954354774,0.983969764054253,0.996297684344552
"121","MOZ",121,0.00304009940755981,121,684.037708014549,121,8.42077257568282,121,98.2850432412976,0.966759917668353,0.961036985069606
"122","MRT",122,0.00169818218238804,122,62.2945572336099,122,3.20637006135022,122,39.773620137572,0.983656103391511,0.953079721189213
"123","MUS",123,0.00226445119638292,123,1985.23795815161,123,36.1081481270421,123,96.4896531109287,0.944570769546582,0.874611949908486
"124","MWI",124,0.00257631324625918,124,76.4946690634115,124,3.83983984770803,124,67.6835309659273,0.957424104280461,0.844511071296924
"125","MYS",125,0.0128848650109139,125,37921.7688376448,125,6963.62164559085,125,5279.88541858388,0.932327305712706,0.915391009557633
"126","NAM",126,0.0021756546836436,126,2324.57807313156,126,35.1506680202705,126,50.4016106007086,0.945905464889778,0.903087745941754
"127","NCL",127,0.00196631768521219,127,180.851253412892,127,4.78618639283752,127,73.6764197859583,0.972874466504845,0.913217272181815
"128","NER",128,0.00221016772760074,128,355.114237450913,128,6.37776008543109,128,32.964859895602,0.978284011679872,0.945496788917499
"129","NGA",129,0.0130649750159699,129,1100.22663886025,129,27.3901591341682,129,964.937349299053,0.926104359684996,0.766101395737357
"130","NIC",130,0.00240942178182695,130,5755.36678926465,130,73.4915148751087,130,116.218781587559,0.96872285450655,0.997238870849698
"131","NLD",131,0.0189519624508142,131,29240.8761542174,131,5404.74280904936,131,5891.36335536551,0.917426086477496,0.904819884742129
"132","NOR",132,0.0059086397361363,132,10035.5560655728,132,826.694120035214,132,1374.22604875222,0.936877122434109,0.897588408795827
"133","NPL",133,0.00159077496226975,133,439.916886929693,133,8.8563284325811,133,61.1403063496906,0.983963209930164,0.912660457692794
"134","NRU",134,0.00110558456215773,134,51.338258953959,134,2.91698913500594,134,2.9698122999614,0.961139628095885,0.904014948105579
"135","NZL",135,0.00426824428511478,135,5334.55762435972,135,214.692677344623,135,583.58328777684,0.929714605327819,0.886685057589625
"136","OMN",136,0.00370588296756766,136,5389.46571227244,136,212.768714743819,136,356.179460546911,0.973574833891327,0.940679298935988
"137","PAK",137,0.00400060481692524,137,1687.80246954503,137,44.1265751204395,137,715.819158110131,0.958277658842582,0.852983831017617
"138","PAN",138,0.00371741486334616,138,2908.08335929566,138,239.252338304971,138,394.136879648122,0.91056169855329,0.76607681441586
"139","PER",139,0.00410723602700465,139,1725.9295426728,139,68.3242483998089,139,564.148094406164,0.961019262631439,0.858230442403057
"140","PHL",140,0.00600531695868876,140,35821.3151447156,140,3903.30930566778,140,2635.89162958875,0.953055807190741,0.937004073774092
"141","PLW",141,0.00129007504657216,141,32.9329258105662,141,2.01598529925652,141,4.03080928820391,0.946934995581129,0.950258109744439
"142","PNG",142,0.00199071591370992,142,411.443932548324,142,7.55639113885339,142,61.5757419680971,0.980443873664296,0.885566435728298
"143","POL",143,0.00940433271638389,143,24260.0880699476,143,2789.75891029203,143,2967.92857871131,0.926225642837509,0.922763235061956
"144","PRK",144,0.00149212896869892,144,3486.43657206046,144,95.1356030042262,144,56.2062928264005,0.873681486400427,0.808147613990539
"145","PRT",145,0.00665354174774518,145,13807.4683487842,145,1004.37783976606,145,1542.65744829701,0.947223853856569,0.906731312716374
"146","PRY",146,0.0026642327242896,146,730.376205359439,146,12.646940577059,146,284.036211064089,0.987192901505395,0.921507514294386
"147","PYF",147,0.00237956369492661,147,237.615116725657,147,4.08198503849396,147,57.9462117475436,0.978590757557843,0.978105369292239
"148","QAT",148,0.00600219756356481,148,1598.54161326449,148,23.9569314981386,148,656.23147382555,0.948077554027934,0.940958865537608
"149","RUS",149,0.0194733974375197,149,7113.41061943211,149,703.697221162565,149,3679.02042609734,0.91372991796855,0.729272208005181
"150","RWA",150,0.00257928253708128,150,37.7910310726119,150,3.08171947795405,150,64.6334597085636,0.94734907641424,0.914963491113227
"151","SAU",151,0.00682352980842682,151,6150.15529714837,151,341.04641774565,151,1515.3678909011,0.940864978672612,0.846910102682862
"152","SEN",152,0.00281106408888214,152,341.313695958404,152,15.4458351368768,152,119.902085457786,0.931931437538969,0.639781254643221
"153","SGP",153,0.0167637600219835,153,36961.0722319582,153,8390.76158880619,153,7059.50058562562,0.918194671178357,0.89790245934611
"154","SLB",154,0.00152920784118544,154,30.362056592316,154,2.17493043924342,154,11.8000455032915,0.976941572588408,0.953670550345742
"155","SLE",155,0.00167113413628751,155,377.477307783559,155,9.71679707822867,155,43.6108376410554,0.965492439784462,0.958285624884756
"156","SLV",156,0.00252137164808865,156,4121.13782520386,156,67.4021707962054,156,180.647403074363,0.958371433205497,0.927931159026365
"157","STP",157,0.00147274070317134,157,51.7607676412436,157,2.37754088323213,157,8.46574321373885,0.948277248188406,0.984262361122891
"158","SUR",158,0.00180070504787611,158,169.906984832745,158,4.48312847570353,158,40.702786863877,0.981496946303377,0.888027990565853
"159","SVK",159,0.00536217203846376,159,20523.4023364931,159,2108.55417881771,159,1668.65177833317,0.938037201430335,0.948265964216229
"160","SVN",160,0.00421280387421771,160,13882.2348308333,160,614.698271750444,160,550.011818086784,0.93854464106424,0.931357042236316
"161","SWE",161,0.0115899075762792,161,16319.979554205,161,3058.52714749109,161,2659.05736571631,0.878763748969477,0.820876101038644
"162","SWZ",162,0.00169320813224997,162,715.892165944277,162,18.1046941870306,162,20.5999433092459,0.924645513128851,0.860227033529059
"163","SYC",163,0.00208428651928912,163,502.09243087566,163,7.89176743440783,163,37.3295028255611,0.950458327169822,0.863741614619477
"164","SYR",164,0.00267620409688356,164,1390.45057498853,164,115.761319213978,164,231.711804015486,0.874534446795976,0.581256159675425
"165","TCD",165,0.00172496493004243,165,70.0714015908341,165,2.86953826965863,165,35.7321035688569,0.983893258911837,0.729839748751812
"166","TGO",166,0.00202687814559842,166,285.992474914592,166,6.190789985913,166,54.4024883502263,0.967258456736678,0.8557777043093
"167","THA",167,0.00753196971064265,167,27149.187746951,167,3852.29127128327,167,3192.07255602848,0.910046404280049,0.898038399465446
"168","TJK",168,0.00193715558438589,168,170.910547990866,168,5.0684442239299,168,75.6209671876487,0.98359246612534,0.81568848396127
"169","TKM",169,0.00221115075631255,169,61.3505031815176,169,2.76135307610414,169,112.726605949078,0.985073998699332,0.976297414606529
"170","TON",170,0.00182484348190091,170,109.646804189103,170,2.44321352134688,170,10.1392579246172,0.944210252972965,0.931658109019242
"171","TTO",171,0.00233133150367967,171,522.93769991031,171,25.8432316384701,171,140.175534736239,0.951584619454121,0.735397750548297
"172","TUN",172,0.00284513179301786,172,14774.0587371094,172,610.90926500044,172,504.776951865246,0.970163608801904,0.961835069211933
"173","TUR",173,0.00678642091966974,173,13824.3081515063,173,1310.20109531614,173,1910.02160365282,0.906993555902645,0.814943029915203
"174","TUV",174,0.00124609648063346,174,16.2360165494826,174,2.06871614408426,174,2.9721086778547,0.949235607339654,0.943090634043673
"175","TZA",175,0.00340315253963053,175,807.656232054263,175,22.9489605600917,175,185.997503704138,0.946983745464088,0.844925166572888
"176","UGA",176,0.00335796211649532,176,1979.03283903545,176,26.3881804757636,176,132.553197170548,0.946604910191635,0.920567421274897
"177","UKR",177,0.00552100828581953,177,9914.22599505232,177,596.581693978932,177,1034.27409935317,0.911816370504548,0.820675128031394
"178","URY",178,0.00245626791456177,178,1788.19676460342,178,32.5536441200829,178,186.540511737629,0.974515527026955,0.904716653626588
"179","USA",179,0.0666027905501195,179,42005.4492763823,179,13796.8163993886,179,20225.4722227103,0.895526372583636,0.866743605008611
"180","UZB",180,0.00258248911766593,180,2413.64969364618,180,35.0618121964251,180,175.089830012941,0.982635737425675,0.927196780049954
"181","VCT",181,0.00180936714297017,181,74.7646883868397,181,2.80166412638484,181,14.6543423501649,0.964248737602733,0.932554593143833
"182","VEN",182,0.0107034396637299,182,3122.83980193156,182,51.4239770601333,182,1035.17392360416,0.929171402861426,0.875162186991004
"183","VNM",183,0.00337908291511363,183,16855.0271947969,183,747.595543469398,183,1187.50223566152,0.961077300020236,0.942945610850591
"184","VUT",184,0.00149149103975287,184,104.019825767136,184,2.88605590570837,184,12.9873130118076,0.978145730710829,0.803264458911218
"185","WSM",185,0.00169042532373634,185,2683.65805785479,185,28.5899065342623,185,17.6360887098926,0.969864064876748,0.962230158061032
"186","YEM",186,0.00345622513406371,186,402.308117744206,186,10.88719672713,186,166.20876058353,0.955023338931205,0.90061603569046
"187","ZAF",187,0.0114821356680875,187,5938.23028358626,187,383.743167467508,187,1414.62190995671,0.884286379664619,0.697581454943142
"188","ZMB",188,0.00312255788895591,188,2054.56243419918,188,24.1684815257159,188,108.915399206127,0.975755533347819,0.980075768989799
"189","ZWE",189,0.00230217701640953,189,593.175672327619,189,8.30772249335723,189,51.379088825727,0.971101871709765,0.885740415569213
