iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,SLB,0,0,0,0,0,0,0,0,14562.644,14562.644,14593.49465,14592.63291
ABW,SLE,0,0,1,0,0,0,0,0,6222.7559,6222.7559,6281.981129,6280.436902
ABW,SLV,0,1,0,0,0,0,0,0,2070.0093,2070.0093,2081.71471,2080.955511
ABW,SMR,0,0,0,0,0,0,0,0,8461.9121,8461.9121,8454.992281,8454.991886
ABW,SOM,0,0,0,0,0,0,0,0,12721.271,12721.271,12607.73357,12606.06609
ABW,SPM,0,0,0,0,0,0,0,0,4015.7551,4015.7551,4035.538593,4035.513824
ABW,STP,0,0,0,0,0,0,0,0,8580.3467,8580.3467,8558.069203,8558.037714
ABW,SUR,0,1,1,0,1,0,0,0,1793.713,1793.713,1873.901373,1787.663009
ABW,SVK,0,0,0,0,0,0,0,0,8778.7412,8778.7412,8902.04922,8900.62943
ABW,SVN,0,0,0,0,0,0,0,0,8601.0088,8601.0088,8617.865149,8617.649575
ABW,SWE,0,0,0,0,0,0,0,0,8715.3867,8715.3867,8587.527722,8585.174349
ABW,SWZ,0,0,0,0,0,0,0,0,11739.211,11739.211,11750.85047,11750.77532
ABW,SYC,0,0,1,0,0,0,0,0,13989.588,13989.588,13976.95202,13976.94768
ABW,SYR,0,0,0,0,0,0,0,0,10720.528,10720.528,10724.00784,10723.17761
ABW,TCA,0,0,1,0,0,0,0,0,998.47742,998.47742,1011.226895,1011.168175
ABW,TCD,0,0,0,0,0,0,0,0,9201.1582,9201.1582,9341.912636,9338.211522
ABW,TGO,0,0,0,0,0,0,0,0,7858.2998,7858.2998,7805.199688,7804.799712
ABW,THA,0,0,0,0,0,0,0,0,16930.207,16930.207,16932.43068,16930.4986
ABW,TJK,0,0,0,0,0,0,0,0,12917.734,12917.734,12918.99403,12918.60685
ABW,TKL,0,0,1,0,0,0,0,0,11515.176,11515.176,11479.48422,11479.26999
ABW,TKM,0,0,0,0,0,0,0,0,12265.522,12265.522,12265.08232,12260.79206
ABW,TMP,0,0,0,0,0,0,0,0,18262.52,18262.52,18275.07093,18274.88987
ABW,TON,0,0,0,0,0,0,0,0,12067.622,12067.622,12052.02963,12051.76087
ABW,TTO,0,0,1,0,0,0,0,0,959.7569,959.7569,960.614341,960.3905747
ABW,TUN,0,0,0,0,0,0,0,0,8328.585,8328.585,8334.207951,8333.935556
ABW,TUR,0,0,0,0,0,0,0,0,9845.79,10197.241,10126.41731,10114.11889
ABW,TUV,0,0,0,0,0,0,0,0,12456.918,12456.918,12533.82089,12533.01939
ABW,TWN,0,0,0,0,0,0,0,0,15659.134,15659.134,15771.77413,15770.89711
ABW,TZA,0,0,0,0,0,0,0,0,12282.36,11881.487,11986.51587,11976.2868
ABW,UGA,0,0,1,0,0,0,0,0,11386.025,11386.025,11347.05682,11346.17088
ABW,UKR,0,0,0,0,0,0,0,0,9678.4492,9678.4492,9909.713044,9901.715374
ABW,URY,0,1,0,0,0,0,0,0,5483.9346,5483.9346,5392.856434,5389.012517
ABW,USA,0,0,1,0,0,0,0,0,3161.668,3007.269,3859.885423,3648.866238
ABW,UZB,0,0,0,0,0,0,0,0,12732.287,12732.287,12713.7855,12709.94346
ABW,VCT,0,0,1,0,0,0,0,0,964.70435,964.70435,953.5869628,953.5273439
ABW,VEN,0,1,0,0,0,0,0,0,408.80646,408.80646,437.7823585,380.6062037
ABW,VGB,0,0,1,0,0,0,0,0,881.28821,881.28821,879.4905289,879.4416106
ABW,VNM,0,0,0,0,0,0,0,0,16271.962,16271.962,17039.93475,17024.94095
ABW,VUT,0,0,1,0,0,0,0,0,13756.357,13756.357,13796.53126,13796.3477
ABW,WLF,0,0,0,0,0,0,0,0,12049.833,12049.833,12055.93344,12055.93125
ABW,WSM,0,0,1,0,0,0,0,0,13348.891,13348.891,11605.07995,11605.03291
ABW,YEM,0,0,0,0,0,0,0,0,12161.901,12161.901,12205.73349,12204.18899
ABW,YUG,0,0,0,0,0,0,0,0,9082.8584,9082.8584,9097.524951,9097.134237
ABW,ZAF,0,0,1,0,0,0,0,0,10662.36,11441.715,11325.09004,11313.80955
ABW,ZAR,0,0,0,0,0,0,0,0,9622.7695,9622.7695,10139.7734,10103.90017
ABW,ZMB,0,0,1,0,0,0,0,0,11267.376,11267.376,11237.00208,11235.77024
ABW,ZWE,0,0,1,0,0,0,0,0,11603.469,11603.469,11528.00564,11526.70292
AFG,ABW,0,0,0,0,0,0,0,0,13257.814,13257.814,13168.22416,13166.36661
AFG,AFG,0,0,0,0,0,0,0,0,303.76135,303.76135,269.5433494,90.26415235
AFG,AGO,0,0,0,0,0,0,0,0,7607.7998,7607.7998,7573.253211,7563.813745
AFG,AIA,0,0,0,0,0,0,0,0,12292.158,12292.158,12205.45224,12203.40983
AFG,ALB,0,0,0,0,0,0,0,0,4342.1167,4342.1167,4250.737583,4243.150201
AFG,AND,0,0,0,0,0,0,0,0,5806.3589,5806.3589,5712.40309,5707.325929
AFG,ANT,0,0,0,0,0,0,0,0,13218.259,13218.259,13004.56379,12995.19142
AFG,ARE,0,0,0,0,0,0,0,0,1813.6145,1813.6145,1657.193103,1628.898352
AFG,ARG,0,0,0,0,0,0,0,0,15298.504,15298.504,15341.16165,15333.27844
AFG,ARM,0,0,0,0,0,0,0,0,2266.1501,2266.1501,2171.301778,2155.121349
AFG,ATG,0,0,0,0,0,0,0,0,12297.092,12297.092,12214.32103,12212.19939
