iso_o,iso_d,contig,comlang_off,colony,comcol,dist,iso2,country,landlocked,continent,lat,lon,langoff_1,colonizer1
AFG,AUT,0,0,0,0,4568.0977,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,AZE,0,0,0,0,1822.2172,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BDI,0,0,0,0,5930.0571,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BEL,0,0,0,0,5416.1211,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BEN,0,0,0,0,7481.0063,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BFA,0,0,0,0,7497.5952,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BGD,0,0,0,0,2376.9783,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BGR,0,0,0,0,4043.0049,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BHR,0,0,0,0,2004.4336,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BHS,0,0,0,0,12518.579,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BIH,0,0,0,0,4428.6143,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BLR,0,0,0,0,3880.9001,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BLZ,0,0,0,0,13822.816,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BMU,0,0,0,0,11177.655,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BOL,0,0,0,0,15349.948,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BRA,0,0,0,0,13771.763,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BRB,0,0,0,0,12465.547,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BRN,0,0,0,0,5741.1406,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BTN,0,0,0,0,2103.501,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,BWA,0,0,0,0,8023.7671,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CAF,0,0,0,0,6188.3154,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CAN,0,0,0,0,10768.887,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CCK,0,0,0,0,5992.4653,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CHE,0,0,0,0,5247.0435,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CHL,0,0,0,0,16353.896,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CHN,1,0,0,0,4180.4375,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
AFG,CIV,0,0,0,0,8144.624,AF,Afghanistan,1,Asia,34.516666,69.199997,Persian,
